Tárgy kódja;Tárgy neve;Kredit;Felvételek száma;Várólista;Kurzus kódja;Kurzus típusa;Fõ/Várólista/Limit;;;Órarend inf.;Oktatók;Nyelv;Telephely;Megj.;Leírás;;;;;;;;;;;
BMEVIIIAA00;A programozás alapjai 2;7;1;;AE;Elmélet;12/0/20;;;"SZE:08:15-10:00  (IL407);";Dóbé Péter, Kápolnai Richárd Péter, Dr. Goldschmidt Balázs;angol;;;;;;;;;594405436;;;;;
BMEVIIIAA00;A programozás alapjai 2;7;1;;AL;Labor;12/0/20;;;"P:10:15-12:00  (IL407);";Dóbé Péter, Kápolnai Richárd Péter, Dr. Goldschmidt Balázs;angol;;;;;;;;;;;;;;
BMEVIIIAA00;A programozás alapjai 2;7;1;;NE;Elmélet;19/0/20;;;"H:12:15-14:00  (V1501);";Dr. Kollár Zsolt, Dr. Horváth Péter, Dr. Nagy Lajos;német;;;;;;;;;594409657;;;;;
BMEVIIIAA00;A programozás alapjai 2;7;1;;NG;Gyakorlat;19/0/20;;;"P:12:15-14:00  (R507);";Dr. Kollár Zsolt, Dr. Horváth Péter, Dr. Nagy Lajos;német;;;;;;;;;594411622;;;;;
BMEVIIIAA00;A programozás alapjai 2;7;1;;NL;Labor;19/0/20;;;"K:10:15-12:00  (R4K);";Dr. Kollár Zsolt, Dr. Horváth Péter, Dr. Nagy Lajos;német;;;;;;;;;594413011;;;;;
BMEVIIIAA00;A programozás alapjai 2;7;1;;AG;Gyakorlat;12/0/20;;;"CS:12:15-14:00  (IB410);";Dóbé Péter, Kápolnai Richárd Péter, Dr. Goldschmidt Balázs;angol;;;;;;;;;594418371;;;;;
BMEVIIIAA00;A programozás alapjai 2;7;1;;E;Elmélet;423/0/550;;;"H:17:15-19:00  (QAF15,  ZH,  IB028,  QAF14,  Q-I,  IB027,  IE007,  IB026); K:12:15-14:00  (IB028); CS:08:15-10:00  (Z…);";Dr. Szeberényi Imre;magyar;;;;;;;;;594420602;;;;;
BMEVIIIAA00;A programozás alapjai 2;7;1;;G01;Gyakorlat;16/0/35;;;"P:10:15-12:00  (QB309);";Dr. Szeberényi Imre;magyar;;Gyakorlatv...;;;;;;;594423352;;;;;
BMEVIIIAA00;A programozás alapjai 2;7;1;;G02;Gyakorlat;18/0/35;;;"P:10:15-12:00  (IB410);";Dr. Szeberényi Imre;magyar;;Gyakorlatv...;;;;;;;594445531;;;;;
BMEVIIIAA00;A programozás alapjai 2;7;1;;G03;Gyakorlat;35/0/35;;;"P:10:15-12:00  (IB147);";Dr. Szeberényi Imre;magyar;;Gyakorlatv...;;;;;;;594461244;;;;;
BMEVIIIAA00;A programozás alapjai 2;7;1;;G04;Gyakorlat;29/0/35;;;"P:10:15-12:00  (IB146);";Dr. Szeberényi Imre;magyar;;Gyakorlatv...;;;;;;;596140496;;;;;
BMEVIIIAA00;A programozás alapjai 2;7;1;;G05;Gyakorlat;23/0/35;;;"H:15:15-17:00  (QBF11);";Dr. Szeberényi Imre;magyar;;;;;;;;;596998151;;;;;
BMEVIIIAA00;A programozás alapjai 2;7;1;;G06;Gyakorlat;17/0/35;;;"P:10:15-12:00  (IB145);";Dr. Szeberényi Imre;magyar;;Gyakorlatv...;;;;;;;;;;;;
BMEVIIIAA00;A programozás alapjai 2;7;1;;G17;Gyakorlat;24/0/30;;;"H:15:15-17:00  (IB310);";Dr. Szeberényi Imre;magyar;;;;;;;;;;;;;;
BMEVIIIAA00;A programozás alapjai 2;7;1;;G08;Gyakorlat;35/0/35;;;"SZE:08:15-10:00  (IB139);";Dr. Szeberényi Imre;magyar;;Gyakorlatv...;;;;;;;;;;;;
BMEVIIIAA00;A programozás alapjai 2;7;1;;G09;Gyakorlat;30/0/30;;;"SZE:08:15-10:00  (IB147);";Dr. Szeberényi Imre;magyar;;Gyakorlatv...;;;;;;;;;;;;
BMEVIIIAA00;A programozás alapjai 2;7;1;;G10;Gyakorlat;30/0/30;;;"SZE:08:15-10:00  (QBF11);";Dr. Szeberényi Imre;magyar;;;;;;;;;;;;;;
